index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,view_history,semantic_distance,verbal_acc_corrected
0,1696.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,1,0,dot,drill,drill_mooney_dot_on1,target,regular,pre,on,ehj1y4xgucb5kt9,html-keyboard-response,14,1074293,0.0-11.0-5.0-1.0,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/997/start?srid=18397,5e4a9e0ade1012000aa3de0e,20,29,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
1,2283.100000023842,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,2,0,dot,candelabra,candelabra_mooney_dot_on1,target,horizontal_flip,pre,on,ehj1y4xgucb5kt9,html-keyboard-response,18,1077580,0.0-11.0-5.1-1.1,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/997/start?srid=18397,5e4a9e0ade1012000aa3de0e,20,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
2,1020.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,3,0,dot,scarf,scarf_mooney_dot_on3,catch,regular,pre,on,ehj1y4xgucb5kt9,html-keyboard-response,22,1079606,0.0-11.0-5.2-1.2,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/997/start?srid=18397,5e4a9e0ade1012000aa3de0e,20,29,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,0,,,,,
3,468.89999997615814,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on1.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,4,0,dot,axe,axe_mooney_dot_on1,target,upside_down,pre,on,ehj1y4xgucb5kt9,html-keyboard-response,26,1081081,0.0-11.0-5.3-1.3,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/997/start?srid=18397,5e4a9e0ade1012000aa3de0e,20,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
4,1968.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/drill_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,5,0,dot,drill,drill_mooney_dot_off2,target,regular,pre,off,ehj1y4xgucb5kt9,html-keyboard-response,30,1084056,0.0-11.0-5.4-1.4,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/997/start?srid=18397,5e4a9e0ade1012000aa3de0e,20,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,0,,,,,
5,1668.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",73,6,0,dot,candelabra,candelabra_mooney_dot_on3,target,horizontal_flip,pre,on,ehj1y4xgucb5kt9,html-keyboard-response,34,1086731,0.0-11.0-5.5-1.5,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/997/start?srid=18397,5e4a9e0ade1012000aa3de0e,20,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
6,969,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",69,7,0,dot,axe,axe_mooney_dot_off2,target,upside_down,pre,off,ehj1y4xgucb5kt9,html-keyboard-response,38,1088706,0.0-11.0-5.6-1.6,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/997/start?srid=18397,5e4a9e0ade1012000aa3de0e,20,29,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
7,1270.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/candelabra_mooney_dot_off4.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,8,0,dot,candelabra,candelabra_mooney_dot_off4,target,horizontal_flip,pre,off,ehj1y4xgucb5kt9,html-keyboard-response,42,1090982,0.0-11.0-5.7-1.7,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/997/start?srid=18397,5e4a9e0ade1012000aa3de0e,20,29,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
8,754.1999999284744,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/scarf_mooney_dot_off2.jpg"" style=""width: 500px; height: 500px; transform: ; ""></img></div></div>",69,9,0,dot,scarf,scarf_mooney_dot_off2,catch,regular,pre,off,ehj1y4xgucb5kt9,html-keyboard-response,46,1092743,0.0-11.0-5.8-1.8,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/997/start?srid=18397,5e4a9e0ade1012000aa3de0e,20,29,United Kingdom,Male,Right-handed,Exp,dot_recog,e,0,1,,,,,
9,533.8999999761581,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/axe_mooney_dot_on3.jpg"" style=""width: 500px; height: 500px; transform: scaleY(-1) ; ""></img></div></div>",73,10,0,dot,axe,axe_mooney_dot_on3,target,upside_down,pre,on,ehj1y4xgucb5kt9,html-keyboard-response,50,1094283,0.0-11.0-5.9-1.9,Chrome,135.0,macOS,10.15.7,undefined,undefined,1920 x 1080,1920 x 992,https://exponline.ugr.es/publix/939/997/start?srid=18397,5e4a9e0ade1012000aa3de0e,20,29,United Kingdom,Male,Right-handed,Exp,dot_recog,i,1,1,,,,,
