trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject
1,0,dot,shears,shears_mooney_dot_off4,target,horizontal_flip,pre,off,79
2,0,dot,bat2,bat2_mooney_dot_off2,target,regular,pre,off,79
3,0,dot,shears,shears_mooney_dot_off2,target,horizontal_flip,pre,off,79
4,0,dot,puddle,puddle_mooney_dot_off2,target,upside_down,pre,off,79
5,0,dot,bat2,bat2_mooney_dot_off4,target,regular,pre,off,79
6,0,dot,shears,shears_mooney_dot_on3,target,horizontal_flip,pre,on,79
7,0,dot,puddle,puddle_mooney_dot_on3,target,upside_down,pre,on,79
8,0,dot,shears,shears_mooney_dot_on1,target,horizontal_flip,pre,on,79
9,0,dot,puddle,puddle_mooney_dot_on1,target,upside_down,pre,on,79
10,0,dot,bat2,bat2_mooney_dot_on3,target,regular,pre,on,79
11,0,dot,puddle,puddle_mooney_dot_off4,target,upside_down,pre,off,79
12,0,dot,bat2,bat2_mooney_dot_on1,target,regular,pre,on,79
13,0,recognition,shears,shears_mooney,target,horizontal_flip,pre,,79
14,0,recognition,bat2,bat2_mooney,target,regular,pre,,79
15,0,recognition,puddle,puddle_mooney,target,upside_down,pre,,79
16,0,recognition,shears,shears,target,horizontal_flip,color,,79
17,0,recognition,bat2,bat2,target,regular,color,,79
18,0,recognition,puddle,puddle,target,upside_down,color,,79
19,1,dot,shears,shears_mooney_dot_off6,target,horizontal_flip,post,off,79
20,1,dot,puddle,puddle_mooney_dot_on5,target,upside_down,post,on,79
21,1,dot,lip_gloss,lip_gloss_mooney_dot_on1,target,horizontal_flip,pre,on,79
22,1,dot,bat2,bat2_mooney_dot_off6,target,regular,post,off,79
23,1,dot,gutter,gutter_mooney_dot_on3,target,upside_down,pre,on,79
24,1,dot,lip_gloss,lip_gloss_mooney_dot_off2,target,horizontal_flip,pre,off,79
25,1,dot,gutter,gutter_mooney_dot_on1,target,upside_down,pre,on,79
26,1,dot,puddle,puddle_mooney_dot_on7,target,upside_down,post,on,79
27,1,dot,bat2,bat2_mooney_dot_off8,target,regular,post,off,79
28,1,dot,shears,shears_mooney_dot_on7,target,horizontal_flip,post,on,79
29,1,dot,dumbbell,dumbbell_mooney_dot_on1,target,regular,pre,on,79
30,1,dot,shears,shears_mooney_dot_on5,target,horizontal_flip,post,on,79
31,1,dot,lip_gloss,lip_gloss_mooney_dot_on3,target,horizontal_flip,pre,on,79
32,1,dot,bat2,bat2_mooney_dot_on7,target,regular,post,on,79
33,1,dot,gutter,gutter_mooney_dot_off4,target,upside_down,pre,off,79
34,1,dot,dumbbell,dumbbell_mooney_dot_off4,target,regular,pre,off,79
35,1,dot,shears,shears_mooney_dot_off8,target,horizontal_flip,post,off,79
36,1,dot,dumbbell,dumbbell_mooney_dot_off2,target,regular,pre,off,79
37,1,dot,lip_gloss,lip_gloss_mooney_dot_off4,target,horizontal_flip,pre,off,79
38,1,dot,gutter,gutter_mooney_dot_off2,target,upside_down,pre,off,79
39,1,dot,bat2,bat2_mooney_dot_on5,target,regular,post,on,79
40,1,dot,puddle,puddle_mooney_dot_off6,target,upside_down,post,off,79
41,1,dot,dumbbell,dumbbell_mooney_dot_on3,target,regular,pre,on,79
42,1,dot,puddle,puddle_mooney_dot_off8,target,upside_down,post,off,79
43,1,recognition,dumbbell,dumbbell_mooney,target,regular,pre,,79
44,1,recognition,lip_gloss,lip_gloss_mooney,target,horizontal_flip,pre,,79
45,1,recognition,shears,shears_mooney,target,horizontal_flip,post,,79
46,1,recognition,bat2,bat2_mooney,target,regular,post,,79
47,1,recognition,gutter,gutter_mooney,target,upside_down,pre,,79
48,1,recognition,puddle,puddle_mooney,target,upside_down,post,,79
49,1,recognition,dumbbell,dumbbell,target,regular,color,,79
50,1,recognition,lip_gloss,lip_gloss,target,horizontal_flip,color,,79
51,1,recognition,gutter,gutter,target,upside_down,color,,79
52,2,dot,hot-water_bottle,hot-water_bottle_mooney_dot_on1,target,upside_down,pre,on,79
