index,rt,stimulus,key_press,trial_number,block,block_type,image_id,filename,image_type,manipulation,phase,dot_position,subject,trial_type,trial_index,time_elapsed,internal_node_id,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution,subject_url,subject_ProlificID,designmatrix_ID,age,nationality,gender,handedness,Exp_part,trial_part,RawResponse,dot_resp,dot_acc,responses,verbal_id,semantic_distance,verbal_acc_corrected
0,1610.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,1,0,dot,garlic,garlic_mooney_dot_on1,target,horizontal_flip,pre,on,c3u6ulde4l3nx3h,html-keyboard-response,14,404361,0.0-11.0-5.0-1.0,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18268,6659dbba2a20aafdf3f1cc47,9,22,South Africa,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
1,1279.2999999998137,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,2,0,dot,eclair,eclair_mooney_dot_off4,target,regular,pre,off,c3u6ulde4l3nx3h,html-keyboard-response,18,406653,0.0-11.0-5.1-1.1,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18268,6659dbba2a20aafdf3f1cc47,9,22,South Africa,Other,Right-handed,Exp,dot_recog,e,1,0,,,,
2,1174.3000000002794,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on3.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,3,0,dot,steak,steak_mooney_dot_on3,catch,regular,pre,on,c3u6ulde4l3nx3h,html-keyboard-response,22,408835,0.0-11.0-5.2-1.2,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18268,6659dbba2a20aafdf3f1cc47,9,22,South Africa,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
3,1066.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,4,0,dot,dumbbell,dumbbell_mooney_dot_off2,target,upside_down,pre,off,c3u6ulde4l3nx3h,html-keyboard-response,26,410909,0.0-11.0-5.3-1.3,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18268,6659dbba2a20aafdf3f1cc47,9,22,South Africa,Other,Right-handed,Exp,dot_recog,e,1,0,,,,
4,672.5999999996275,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off2.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,5,0,dot,garlic,garlic_mooney_dot_off2,target,horizontal_flip,pre,off,c3u6ulde4l3nx3h,html-keyboard-response,30,412598,0.0-11.0-5.4-1.4,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18268,6659dbba2a20aafdf3f1cc47,9,22,South Africa,Other,Right-handed,Exp,dot_recog,e,1,0,,,,
5,1037.8000000002794,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,6,0,dot,dumbbell,dumbbell_mooney_dot_off4,target,upside_down,pre,off,c3u6ulde4l3nx3h,html-keyboard-response,34,414647,0.0-11.0-5.5-1.5,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18268,6659dbba2a20aafdf3f1cc47,9,22,South Africa,Other,Right-handed,Exp,dot_recog,e,1,0,,,,
6,1104.8999999999069,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/steak_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",69,7,0,dot,steak,steak_mooney_dot_on1,catch,regular,pre,on,c3u6ulde4l3nx3h,html-keyboard-response,38,416763,0.0-11.0-5.6-1.6,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18268,6659dbba2a20aafdf3f1cc47,9,22,South Africa,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
7,3304,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/garlic_mooney_dot_off4.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",73,8,0,dot,garlic,garlic_mooney_dot_off4,target,horizontal_flip,pre,off,c3u6ulde4l3nx3h,html-keyboard-response,42,421080,0.0-11.0-5.7-1.7,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18268,6659dbba2a20aafdf3f1cc47,9,22,South Africa,Other,Right-handed,Exp,dot_recog,i,0,1,,,,
8,null,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/eclair_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: ; ""></img></div></div>",null,9,0,dot,eclair,eclair_mooney_dot_on1,target,regular,pre,on,c3u6ulde4l3nx3h,html-keyboard-response,46,427104,0.0-11.0-5.8-1.8,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18268,6659dbba2a20aafdf3f1cc47,9,22,South Africa,Other,Right-handed,Exp,dot_recog,,0,0,,,,
9,0.5,"<div class=""InstrBx""><div class=""img-container""><img src=""stim/dumbbell_mooney_dot_on1.jpg"" style=""width: 500px; height: ""500px; transform: scaleY(-1) ; ""></img></div></div>",69,10,0,dot,dumbbell,dumbbell_mooney_dot_on1,target,upside_down,pre,on,c3u6ulde4l3nx3h,html-keyboard-response,50,428126,0.0-11.0-5.9-1.9,Chrome,134.0,Windows,10,undefined,undefined,1366 x 768,1366 x 633,https://exponline.ugr.es/publix/939/983/start?srid=18268,6659dbba2a20aafdf3f1cc47,9,22,South Africa,Other,Right-handed,Exp,dot_recog,e,1,1,,,,
